,name,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
20,Dorothy,,,,,,,,,,,,,,,,,,,,,,,,,3477.0,3937.0,4326.0,4967.0,5703.0,6253.0,7318.0,8869.0,12645.0,14674.0,18782.0,25154.0,27418.0,28852.0,32030.0,31733.0,36643.0,39087.0,37716.0,39043.0,39996.0,38570.0,36618.0,35993.0,33733.0,31477.0,30409.0,26524.0,24977.0,22052.0,21281.0,19406.0,17666.0,16573.0,16357.0,15169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Frances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4967.0,6680.0,7694.0,9677.0,12786.0,13746.0,14363.0,16131.0,15107.0,15883.0,15993.0,15054.0,14881.0,15183.0,,13355.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Evelyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10747.0,10432.0,10441.0,9516.0,9489.0,9330.0,9113.0,9116.0
23,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12487.0,14261.0,16421.0,15636.0,17314.0,19032.0,19144.0,18326.0,18620.0,17490.0,16161.0,15733.0,14500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Betty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17638.0,20894.0,25990.0,30600.0,32812.0,32964.0,35423.0,36083.0,36677.0,38238.0,36105.0,34420.0,31531.0,31088.0,28675.0,25867.0,25337.0,25505.0,23642.0,22077.0,20904.0,21659.0,21596.0,19760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Doris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15786.0,16075.0,16295.0,16512.0,16574.0,16498.0,15464.0,13629.0,12910.0,12025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Shirley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13314.0,14215.0,14576.0,,14405.0,14476.0,14320.0,22841.0,42365.0,35162.0,26823.0,23766.0,20445.0,17880.0,16955.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13161.0,14872.0,16038.0,18280.0,21803.0,26318.0,26949.0,29239.0,30697.0,31682.0,34917.0,39277.0,37257.0,36735.0,39543.0,44739.0,43432.0,39196.0,38274.0,45125.0,48800.0,46824.0,42599.0,41555.0,40619.0,39863.0,38474.0,36369.0,33616.0,32302.0,29691.0,27877.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Patricia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13624.0,15751.0,16470.0,17990.0,18632.0,20844.0,22879.0,23916.0,26838.0,27558.0,29701.0,32667.0,36904.0,39464.0,39621.0,36872.0,35843.0,46298.0,51278.0,46140.0,46325.0,47944.0,56446.0,53098.0,51021.0,49149.0,46226.0,43330.0,39282.0,37966.0,35224.0,32105.0,28889.0,26532.0,25374.0,26090.0,23553.0,20111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Joan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15478.0,19119.0,21044.0,19294.0,19465.0,18221.0,17071.0,15301.0,14303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Nancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13520.0,14544.0,16754.0,17074.0,18951.0,19722.0,19737.0,20883.0,23328.0,23987.0,23217.0,21456.0,28345.0,32445.0,29412.0,29248.0,29617.0,30346.0,31739.0,30620.0,30269.0,30024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Carol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14519.0,17336.0,19421.0,20166.0,21759.0,24187.0,30271.0,31685.0,30456.0,30388.0,34283.0,33543.0,28977.0,26781.0,26163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Judith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16626.0,22385.0,23318.0,24792.0,25214.0,22431.0,20192.0,22310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Linda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18369.0,23721.0,31614.0,38439.0,38415.0,41465.0,52710.0,99693.0,96216.0,91016.0,80431.0,73982.0,67081.0,61281.0,55371.0,51300.0,48085.0,44515.0,41905.0,40412.0,37315.0,35592.0,31463.0,27723.0,23632.0,19343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Sandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16154.0,19498.0,24993.0,25990.0,26023.0,24700.0,31694.0,34779.0,31062.0,30643.0,28896.0,27666.0,26097.0,,,,,,,,,24154.0,22418.0,21623.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Carolyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Sharon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24713.0,22432.0,20838.0,27825.0,28533.0,26143.0,25713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
